timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773916719,deployment-recommender-1,1.53%,226.7MiB / 1.946GiB,11.38%,7.89MB / 11.5MB,3.99GB / 169MB,67
1773916719,deployment-image-1,36.10%,416.8MiB / 1.946GiB,20.91%,72.3MB / 3.15GB,3.88GB / 165MB,60
1773916719,deployment-registry-1,8.56%,34.44MiB / 1.946GiB,1.73%,47.8MB / 31.5MB,2.09GB / 114MB,53
1773916719,deployment-db-1,0.08%,9.148MiB / 1.946GiB,0.46%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916719,deployment-persistence-1,12.44%,263.2MiB / 1.946GiB,13.21%,159MB / 168MB,4.01GB / 114MB,99
1773916719,deployment-auth-1,4.62%,281.7MiB / 1.946GiB,14.13%,51.7MB / 24.2MB,3.63GB / 93.8MB,53
1773916729,deployment-recommender-1,20.23%,234MiB / 1.946GiB,11.74%,7.9MB / 11.5MB,4GB / 195MB,68
1773916729,deployment-image-1,12.96%,477.1MiB / 1.946GiB,23.94%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916729,deployment-registry-1,1.21%,47.25MiB / 1.946GiB,2.37%,47.9MB / 31.6MB,2.11GB / 114MB,53
1773916729,deployment-db-1,0.07%,9.125MiB / 1.946GiB,0.46%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916729,deployment-persistence-1,11.44%,278.8MiB / 1.946GiB,13.99%,159MB / 168MB,4.03GB / 114MB,99
1773916729,deployment-auth-1,8.34%,300.5MiB / 1.946GiB,15.08%,51.7MB / 24.2MB,3.65GB / 93.8MB,54
1773916737,deployment-recommender-1,35.82%,339.3MiB / 1.946GiB,17.02%,7.98MB / 11.6MB,4.08GB / 198MB,68
1773916737,deployment-image-1,1.20%,428.6MiB / 1.946GiB,21.51%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916737,deployment-registry-1,0.52%,49.1MiB / 1.946GiB,2.46%,48MB / 31.7MB,2.11GB / 114MB,53
1773916737,deployment-db-1,0.07%,8.684MiB / 1.946GiB,0.44%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916737,deployment-persistence-1,1.24%,256.1MiB / 1.946GiB,12.85%,159MB / 168MB,4.04GB / 115MB,99
1773916737,deployment-auth-1,1.59%,306.1MiB / 1.946GiB,15.36%,51.7MB / 24.2MB,3.66GB / 93.9MB,54
1773916752,deployment-recommender-1,2.00%,367.9MiB / 1.946GiB,18.46%,7.99MB / 11.6MB,4.13GB / 198MB,68
1773916752,deployment-image-1,1.27%,415.9MiB / 1.946GiB,20.87%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916752,deployment-registry-1,0.52%,49.12MiB / 1.946GiB,2.46%,48MB / 31.7MB,2.11GB / 114MB,53
1773916752,deployment-db-1,0.08%,8.473MiB / 1.946GiB,0.43%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916752,deployment-persistence-1,1.44%,249.9MiB / 1.946GiB,12.54%,159MB / 168MB,4.04GB / 115MB,99
1773916752,deployment-auth-1,0.20%,298.8MiB / 1.946GiB,14.99%,51.7MB / 24.2MB,3.66GB / 93.9MB,54
1773916761,deployment-recommender-1,1.88%,371.9MiB / 1.946GiB,18.66%,7.99MB / 11.6MB,4.13GB / 198MB,68
1773916761,deployment-image-1,1.19%,417.5MiB / 1.946GiB,20.95%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916761,deployment-registry-1,0.61%,49.12MiB / 1.946GiB,2.46%,48MB / 31.7MB,2.11GB / 114MB,53
1773916761,deployment-db-1,0.09%,8.473MiB / 1.946GiB,0.43%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916761,deployment-persistence-1,0.26%,250MiB / 1.946GiB,12.54%,159MB / 168MB,4.05GB / 115MB,55
1773916761,deployment-auth-1,1.17%,301.7MiB / 1.946GiB,15.14%,51.7MB / 24.2MB,3.66GB / 93.9MB,54
1773916769,deployment-recommender-1,0.18%,373.5MiB / 1.946GiB,18.74%,7.99MB / 11.7MB,4.14GB / 198MB,68
1773916769,deployment-image-1,1.19%,417.5MiB / 1.946GiB,20.95%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916769,deployment-registry-1,0.42%,49.13MiB / 1.946GiB,2.47%,48MB / 31.7MB,2.11GB / 114MB,53
1773916769,deployment-db-1,0.08%,8.473MiB / 1.946GiB,0.43%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916769,deployment-persistence-1,0.18%,250.1MiB / 1.946GiB,12.55%,159MB / 168MB,4.05GB / 115MB,55
1773916769,deployment-auth-1,1.07%,303MiB / 1.946GiB,15.20%,51.7MB / 24.2MB,3.66GB / 93.9MB,54
1773916777,deployment-recommender-1,0.46%,374.4MiB / 1.946GiB,18.79%,8MB / 11.7MB,4.14GB / 198MB,68
1773916777,deployment-image-1,3.65%,417.6MiB / 1.946GiB,20.95%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916777,deployment-registry-1,0.39%,49.13MiB / 1.946GiB,2.47%,48.1MB / 31.7MB,2.11GB / 114MB,53
1773916777,deployment-db-1,0.07%,8.473MiB / 1.946GiB,0.43%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916777,deployment-persistence-1,0.19%,256.9MiB / 1.946GiB,12.89%,159MB / 168MB,4.05GB / 115MB,55
1773916777,deployment-auth-1,8.26%,303.2MiB / 1.946GiB,15.21%,51.7MB / 24.2MB,3.67GB / 93.9MB,54
1773916785,deployment-recommender-1,1.84%,367.8MiB / 1.946GiB,18.45%,8MB / 11.7MB,4.14GB / 198MB,68
1773916785,deployment-image-1,2.29%,414.5MiB / 1.946GiB,20.80%,72.4MB / 3.15GB,3.9GB / 165MB,60
1773916785,deployment-registry-1,0.67%,49.79MiB / 1.946GiB,2.50%,48.1MB / 31.7MB,2.11GB / 114MB,53
1773916785,deployment-db-1,0.08%,8.426MiB / 1.946GiB,0.42%,21.2MB / 93.7MB,943MB / 29.6MB,56
1773916785,deployment-persistence-1,1.62%,262.3MiB / 1.946GiB,13.16%,159MB / 168MB,4.05GB / 115MB,55
